sample_id,class_id,class_name,image_size,center_x,center_y,radius_or_half_side,noise_std,foreground_brightness,pixel_mean,split
174,0,circle,32,14,18,14,0.0608,0.9179,0.552,train
175,0,circle,32,11,19,6,0.0608,0.8685,0.0959,train
176,0,circle,32,10,11,9,0.0625,0.8949,0.2224,train
177,0,circle,32,19,19,6,0.0396,0.9809,0.1083,train
178,0,circle,32,10,22,8,0.0649,0.8147,0.16,train
179,0,circle,32,20,17,10,0.05,0.8629,0.2647,train
180,0,circle,32,17,11,13,0.0555,0.9023,0.4678,train
181,0,circle,32,15,15,7,0.0621,0.8335,0.1253,train
182,0,circle,32,14,20,12,0.0556,0.9165,0.4049,train
183,0,circle,32,18,10,13,0.043,0.9453,0.4901,train
184,0,circle,32,22,16,14,0.0565,0.7778,0.4677,train
185,0,circle,32,10,20,14,0.054,0.948,0.5701,train
186,0,circle,32,19,22,13,0.0468,0.8744,0.4534,train
187,0,circle,32,22,10,9,0.0508,0.9001,0.2237,train
188,0,circle,32,21,17,7,0.0494,0.8191,0.1231,train
189,0,circle,32,20,19,9,0.0553,0.7569,0.1881,train
190,0,circle,32,16,11,9,0.0478,0.7533,0.1872,train
191,0,circle,32,11,17,7,0.0416,0.9881,0.1485,train
192,0,circle,32,14,18,10,0.0465,0.9738,0.2988,train
193,0,circle,32,17,17,9,0.0454,0.8497,0.2112,train
194,0,circle,32,19,18,8,0.0446,0.7957,0.1562,train
195,0,circle,32,14,22,12,0.0515,0.9574,0.423,train
196,0,circle,32,10,14,10,0.0406,0.8141,0.2498,train
197,0,circle,32,19,20,13,0.0649,0.951,0.4931,train
198,0,circle,32,15,18,14,0.0572,0.8662,0.5209,train
199,0,circle,32,15,13,9,0.0419,0.8405,0.2089,train
200,0,circle,32,10,15,13,0.0434,0.9361,0.4854,train
201,0,circle,32,22,16,12,0.0468,0.9193,0.4061,train
202,0,circle,32,12,17,6,0.0677,0.9065,0.1001,train
203,0,circle,32,19,15,7,0.0487,0.7803,0.1173,train
204,0,circle,32,17,10,8,0.0576,0.8762,0.172,train
205,0,circle,32,20,12,7,0.0423,0.8484,0.1275,train
206,0,circle,32,21,16,7,0.0241,0.8313,0.125,train
207,0,circle,32,20,18,12,0.055,0.9544,0.4216,train
208,0,circle,32,17,18,6,0.0635,0.963,0.1064,train
209,0,circle,32,13,20,10,0.046,0.8982,0.2756,train
210,0,circle,32,11,22,7,0.0666,0.8542,0.1284,train
211,0,circle,32,21,14,6,0.0497,0.8565,0.0946,train
212,0,circle,32,15,16,8,0.0671,0.8204,0.1611,train
213,0,circle,32,16,19,8,0.0551,0.8086,0.1588,train
214,0,circle,32,19,20,9,0.052,0.959,0.2383,train
215,0,circle,32,19,12,9,0.0536,0.8694,0.2161,train
216,0,circle,32,10,22,13,0.0426,0.8113,0.4206,train
217,0,circle,32,20,18,8,0.0519,0.9663,0.1897,train
218,0,circle,32,14,20,12,0.0716,0.987,0.436,train
219,0,circle,32,17,14,9,0.0608,0.9157,0.2276,train
220,0,circle,32,16,19,11,0.0696,0.7756,0.2879,train
221,0,circle,32,21,14,6,0.0499,0.888,0.0981,train
222,0,circle,32,19,20,6,0.0645,0.8159,0.0901,train
223,0,circle,32,21,17,10,0.048,0.9685,0.2971,train
224,0,circle,32,13,20,9,0.0512,0.9425,0.2342,train
225,0,circle,32,20,22,8,0.0429,0.899,0.1765,train
226,0,circle,32,14,22,13,0.035,0.9051,0.4693,train
227,0,circle,32,15,21,8,0.0344,0.758,0.1488,train
228,0,circle,32,12,13,8,0.0571,0.9294,0.1825,train
229,0,circle,32,15,18,14,0.0545,0.9388,0.5645,train
230,0,circle,32,17,22,10,0.0661,0.8117,0.249,train
231,0,circle,32,15,22,7,0.0403,0.9292,0.1397,train
232,0,circle,32,13,20,12,0.0461,0.931,0.4113,train
233,0,circle,32,22,18,11,0.0508,0.9821,0.3646,train
234,0,circle,32,11,17,11,0.0584,0.8135,0.302,train
235,0,circle,32,20,14,12,0.0554,0.9115,0.4027,train
236,0,circle,32,13,17,6,0.0604,0.776,0.0857,train
237,0,circle,32,18,15,9,0.0287,0.8987,0.2233,train
238,0,circle,32,21,14,12,0.0415,0.8614,0.3806,train
239,0,circle,32,10,10,10,0.0386,0.778,0.2387,train
240,0,circle,32,18,12,12,0.055,0.8064,0.3563,train
241,0,circle,32,20,21,14,0.0499,0.8589,0.5165,train
242,0,circle,32,16,20,7,0.0356,0.7871,0.1183,train
243,0,circle,32,19,16,10,0.058,0.9501,0.2915,train
244,0,circle,32,13,15,7,0.0594,0.8564,0.1287,train
245,0,circle,32,15,18,11,0.052,0.9854,0.3658,train
246,0,circle,32,17,11,9,0.0575,0.9824,0.2441,train
247,0,circle,32,19,10,6,0.053,0.904,0.0998,train
248,0,circle,32,19,13,7,0.0517,0.7802,0.1173,train
249,0,circle,32,18,13,9,0.0427,0.9492,0.2359,train
250,0,circle,32,22,19,6,0.0528,0.9358,0.1034,train
251,0,circle,32,12,12,14,0.0433,0.8165,0.491,train
252,0,circle,32,10,12,6,0.05,0.9087,0.1004,train
253,0,circle,32,22,13,11,0.0562,0.836,0.3103,train
254,0,circle,32,16,18,7,0.0578,0.7804,0.1173,train
255,0,circle,32,17,17,11,0.0508,0.929,0.3449,train
256,0,circle,32,19,10,14,0.0452,0.8709,0.5237,train
257,0,circle,32,20,10,6,0.0496,0.8224,0.0908,train
258,0,circle,32,11,17,13,0.0694,0.8523,0.4419,train
259,0,circle,32,11,15,8,0.0498,0.7676,0.1507,train
260,0,circle,32,18,21,11,0.0573,0.9019,0.3348,train
261,0,circle,32,19,18,10,0.0532,0.8414,0.2581,train
262,0,circle,32,21,11,14,0.0369,0.7738,0.4653,train
263,0,circle,32,13,16,13,0.0539,0.923,0.4786,train
264,0,circle,32,16,16,7,0.0579,0.9486,0.1426,train
265,0,circle,32,15,20,10,0.0433,0.825,0.2531,train
266,0,circle,32,11,11,7,0.0459,0.9715,0.146,train
267,0,circle,32,11,21,11,0.0541,0.7724,0.2867,train
268,0,circle,32,18,18,11,0.0548,0.8908,0.3307,train
269,0,circle,32,16,15,12,0.0382,0.9108,0.4024,train
270,0,circle,32,19,14,11,0.0608,0.9824,0.3647,train
271,0,circle,32,18,13,8,0.0382,0.7749,0.1522,train
272,0,circle,32,18,15,7,0.0461,0.776,0.1167,train
273,0,circle,32,19,13,12,0.0441,0.933,0.4122,train
274,0,circle,32,19,20,14,0.0653,0.9464,0.5691,train
275,0,circle,32,20,21,10,0.0276,0.7563,0.232,train
276,0,circle,32,15,15,6,0.0579,0.933,0.103,train
277,0,circle,32,12,19,12,0.0514,0.7935,0.3506,train
278,0,circle,32,11,21,14,0.0649,0.9832,0.5912,train
279,0,circle,32,16,17,11,0.057,0.8016,0.2976,train
280,0,circle,32,19,19,7,0.0547,0.8279,0.1245,train
281,0,circle,32,12,12,6,0.0572,0.962,0.1062,train
282,0,circle,32,17,19,13,0.0463,0.9089,0.4713,train
283,0,circle,32,13,22,14,0.0429,0.8494,0.5108,train
284,0,circle,32,20,19,13,0.058,0.818,0.4241,train
285,0,circle,32,14,10,9,0.057,0.8765,0.2178,train
286,0,circle,32,14,13,8,0.0393,0.7518,0.1476,train
287,0,circle,32,14,15,7,0.0583,0.9334,0.1403,train
288,0,circle,32,16,18,9,0.0666,0.7922,0.1969,train
289,0,circle,32,20,22,11,0.0508,0.8701,0.323,train
290,0,circle,32,10,17,7,0.0679,0.7602,0.1143,train
291,0,circle,32,19,16,12,0.0587,0.9569,0.4227,train
292,0,circle,32,10,15,8,0.0474,0.7776,0.1527,train
293,0,circle,32,19,17,11,0.0399,0.9423,0.3498,train
294,0,circle,32,19,16,14,0.0664,0.8084,0.4861,train
295,0,circle,32,14,21,11,0.0601,0.7689,0.2854,train
296,0,circle,32,20,11,14,0.0531,0.7683,0.462,train
297,0,circle,32,22,15,11,0.0671,0.8724,0.3239,train
298,0,circle,32,13,11,8,0.0474,0.9456,0.1857,train
299,0,circle,32,12,19,8,0.0317,0.8114,0.1593,train
300,0,circle,32,22,20,13,0.0509,0.7925,0.4109,train
301,0,circle,32,19,22,13,0.0354,0.8613,0.4466,train
302,0,circle,32,19,15,11,0.0413,0.9043,0.3357,train
303,0,circle,32,11,17,13,0.0312,0.7862,0.4076,train
304,0,circle,32,15,18,7,0.0379,0.8919,0.1341,train
305,0,circle,32,17,10,6,0.0369,0.8245,0.0911,train
306,0,circle,32,11,19,14,0.0444,0.9047,0.544,train
307,0,circle,32,19,18,6,0.056,0.8423,0.093,train
308,0,circle,32,15,19,13,0.0327,0.9064,0.47,train
309,0,circle,32,10,17,7,0.0557,0.8703,0.1308,train
310,0,circle,32,11,18,8,0.0571,0.9858,0.1936,train
311,0,circle,32,21,17,13,0.0323,0.7594,0.3937,train
312,0,circle,32,14,16,12,0.0364,0.8373,0.3699,train
313,0,circle,32,20,19,6,0.0479,0.9359,0.1034,train
314,0,circle,32,11,18,12,0.0535,0.7658,0.3383,train
315,0,circle,32,21,20,8,0.036,0.8182,0.1607,train
316,0,circle,32,15,14,12,0.0434,0.7839,0.3463,train
317,0,circle,32,21,11,10,0.0614,0.7809,0.2396,train
318,0,circle,32,12,20,14,0.0366,0.8288,0.4984,train
319,0,circle,32,20,16,14,0.0448,0.7724,0.4645,train
320,0,circle,32,13,15,13,0.0439,0.7933,0.4113,train
321,0,circle,32,12,12,7,0.0572,0.7961,0.1197,train
322,0,circle,32,18,21,14,0.045,0.8718,0.5242,train
323,0,circle,32,15,22,8,0.0669,0.7591,0.149,train
324,0,circle,32,21,22,8,0.0453,0.7934,0.1558,train
325,0,circle,32,10,16,11,0.0467,0.9231,0.3427,train
326,0,circle,32,14,22,13,0.0467,0.8566,0.4441,train
327,0,circle,32,13,14,13,0.0434,0.8062,0.418,train
328,0,circle,32,19,17,13,0.0554,0.9128,0.4733,train
329,0,circle,32,22,16,14,0.0463,0.9347,0.5621,train
330,0,circle,32,22,19,8,0.0244,0.9461,0.1858,train
331,0,circle,32,10,20,13,0.0455,0.9595,0.4975,train
332,0,circle,32,18,11,10,0.0589,0.7746,0.2376,train
333,0,circle,32,12,14,13,0.041,0.7701,0.3993,train
334,0,circle,32,13,17,11,0.0547,0.855,0.3174,train
335,0,circle,32,16,10,12,0.0468,0.9733,0.43,train
336,0,circle,32,15,13,6,0.0427,0.9887,0.1092,train
337,0,circle,32,11,21,11,0.0499,0.8265,0.3068,train
338,0,circle,32,17,21,8,0.0514,0.8189,0.1608,train
339,0,circle,32,17,17,6,0.0447,0.9321,0.1029,train
340,0,circle,32,12,18,14,0.0516,0.8018,0.4821,train
341,0,circle,32,22,14,9,0.0489,0.8516,0.2116,train
342,0,circle,32,22,19,13,0.049,0.8508,0.4411,train
343,0,circle,32,17,19,14,0.053,0.7651,0.4601,train
344,0,circle,32,12,14,12,0.062,0.8081,0.357,train
345,0,circle,32,15,13,12,0.0512,0.7504,0.3315,train
346,0,circle,32,15,11,14,0.0557,0.8756,0.5265,train
347,0,circle,32,22,18,14,0.0637,0.8806,0.5295,train
348,0,circle,32,16,15,10,0.0702,0.7604,0.2333,train
349,0,circle,32,15,22,7,0.0526,0.9294,0.1397,train
350,0,circle,32,22,19,11,0.0409,0.9008,0.3344,train
351,0,circle,32,15,18,11,0.0635,0.782,0.2903,train
352,0,circle,32,17,21,13,0.0524,0.937,0.4858,train
353,0,circle,32,22,12,7,0.0443,0.9016,0.1355,train
354,0,circle,32,13,10,9,0.0449,0.7589,0.1886,train
355,0,circle,32,15,14,14,0.0266,0.9626,0.5788,train
356,0,circle,32,10,22,9,0.0352,0.8636,0.2146,train
357,0,circle,32,22,10,11,0.061,0.8187,0.3039,train
358,0,circle,32,16,21,13,0.0474,0.8549,0.4433,train
359,0,circle,32,16,15,8,0.0677,0.9647,0.1894,train
360,0,circle,32,18,14,7,0.0383,0.9718,0.1461,train
361,0,circle,32,11,16,8,0.0503,0.9245,0.1815,train
362,0,circle,32,20,14,10,0.0416,0.7692,0.236,train
363,0,circle,32,21,16,8,0.0475,0.857,0.1683,train
364,0,circle,32,15,19,12,0.0466,0.7602,0.3358,train
365,0,circle,32,22,10,7,0.0414,0.8159,0.1227,train
366,0,circle,32,21,20,8,0.0451,0.8731,0.1714,train
367,0,circle,32,12,19,13,0.041,0.9787,0.5074,train
368,0,circle,32,15,15,12,0.0536,0.9368,0.4139,train
369,0,circle,32,10,19,8,0.0508,0.9779,0.192,train
370,0,circle,32,22,11,8,0.0395,0.8393,0.1648,train
371,0,circle,32,16,15,10,0.028,0.8771,0.2691,train
372,0,circle,32,17,18,12,0.05,0.9266,0.4094,train
373,0,circle,32,11,14,10,0.0549,0.9693,0.2974,train
374,0,circle,32,21,17,9,0.048,0.8969,0.2229,train
375,0,circle,32,11,17,8,0.0433,0.7794,0.153,train
376,0,circle,32,20,15,11,0.0587,0.7711,0.2863,train
377,0,circle,32,18,18,10,0.0435,0.9203,0.2823,train
378,0,circle,32,21,20,8,0.0651,0.9208,0.1808,train
379,0,circle,32,18,13,7,0.0377,0.9405,0.1414,train
380,0,circle,32,17,10,11,0.0676,0.8068,0.2995,train
381,0,circle,32,15,17,14,0.0483,0.883,0.531,train
382,0,circle,32,16,21,13,0.0642,0.7658,0.3971,train
383,0,circle,32,22,16,7,0.0651,0.8762,0.1317,train
384,0,circle,32,17,20,14,0.0562,0.7678,0.4617,train
385,0,circle,32,22,18,8,0.0562,0.8327,0.1635,train
386,0,circle,32,10,11,14,0.0506,0.8707,0.5236,train
387,0,circle,32,12,12,11,0.0448,0.7867,0.292,train
388,0,circle,32,18,14,7,0.0566,0.9774,0.1469,train
389,0,circle,32,20,18,10,0.0472,0.8101,0.2485,train
390,0,circle,32,18,20,8,0.056,0.878,0.1724,train
391,0,circle,32,19,12,8,0.056,0.892,0.1751,train
392,0,circle,32,19,10,6,0.0413,0.8952,0.0989,train
393,0,circle,32,20,22,10,0.0366,0.7695,0.2361,train
394,0,circle,32,20,10,13,0.0401,0.85,0.4407,train
395,0,circle,32,18,14,10,0.0361,0.9634,0.2956,train
396,0,circle,32,14,17,7,0.032,0.9144,0.1375,train
397,0,circle,32,12,17,12,0.0519,0.9153,0.4044,train
398,0,circle,32,15,21,11,0.0433,0.8956,0.3325,train
399,0,circle,32,15,16,8,0.0507,0.9262,0.1819,train
400,0,circle,32,13,17,7,0.0508,0.7755,0.1166,val
401,0,circle,32,13,12,7,0.038,0.8142,0.1224,val
402,0,circle,32,16,13,8,0.0729,0.9574,0.188,val
403,0,circle,32,19,21,11,0.0575,0.9452,0.3509,val
404,0,circle,32,17,17,10,0.0522,0.989,0.3034,val
405,0,circle,32,11,16,14,0.0555,0.8694,0.5228,val
406,0,circle,32,10,10,10,0.0428,0.89,0.273,val
407,0,circle,32,20,20,13,0.052,0.8688,0.4505,val
408,0,circle,32,12,14,11,0.0497,0.7758,0.288,val
409,0,circle,32,15,10,12,0.0512,0.9333,0.4123,val
410,0,circle,32,14,11,12,0.0622,0.837,0.3698,val
411,0,circle,32,22,18,10,0.0541,0.871,0.2672,val
412,0,circle,32,12,11,12,0.0564,0.8967,0.3961,val
413,0,circle,32,15,18,11,0.0376,0.8396,0.3117,val
414,0,circle,32,18,10,6,0.0502,0.8722,0.0963,val
415,0,circle,32,21,15,13,0.0433,0.7593,0.3937,val
416,0,circle,32,12,15,11,0.0444,0.9644,0.358,val
417,0,circle,32,19,21,10,0.0493,0.789,0.2421,val
418,0,circle,32,17,21,10,0.0401,0.8723,0.2676,val
419,0,circle,32,10,15,11,0.0434,0.864,0.3207,val
420,0,circle,32,22,21,6,0.0371,0.8901,0.0983,val
421,0,circle,32,14,20,9,0.0252,0.8933,0.222,val
422,0,circle,32,20,21,12,0.0476,0.7909,0.3494,val
423,0,circle,32,20,13,6,0.037,0.7855,0.0868,val
424,0,circle,32,17,15,12,0.0361,0.7958,0.3516,val
425,0,circle,32,21,13,12,0.0432,0.7863,0.3474,val
426,0,circle,32,21,21,6,0.0363,0.8632,0.0953,val
427,0,circle,32,18,13,14,0.0498,0.9194,0.5529,val
428,0,circle,32,15,12,13,0.0433,0.8761,0.4542,val
429,0,circle,32,15,18,11,0.0631,0.9689,0.3597,val
430,0,circle,32,22,21,10,0.041,0.9134,0.2802,val
431,0,circle,32,13,13,10,0.032,0.8964,0.275,val
432,0,circle,32,14,22,10,0.0433,0.9835,0.3017,val
433,0,circle,32,21,21,13,0.0475,0.9192,0.4766,val
434,0,circle,32,22,21,10,0.0462,0.9741,0.2989,val
435,0,circle,32,19,20,14,0.0585,0.8191,0.4925,val
436,0,circle,32,22,22,8,0.0296,0.9464,0.1858,val
437,0,circle,32,14,21,7,0.0692,0.8197,0.1232,val
